iter	Logloss
0	0.6790531307
1	0.6674771457
2	0.6589335497
3	0.6521905795
4	0.6466991263
5	0.6406348383
6	0.6356519956
7	0.6321280438
8	0.6279607597
9	0.6230333747
10	0.6191405666
11	0.6159511958
12	0.6130417769
13	0.6098090752
14	0.6060565768
15	0.602832859
16	0.6002896361
17	0.5974597652
18	0.5946095454
19	0.5915455216
20	0.5876746144
21	0.5844426722
22	0.5809296493
23	0.5776167844
24	0.5746012724
25	0.5715786209
26	0.5688363581
27	0.5655836425
28	0.5626253255
29	0.5597600841
30	0.557327442
31	0.5540510244
32	0.5510648828
33	0.548528771
34	0.5456325148
35	0.5425329766
36	0.5404582841
37	0.5378569653
38	0.5354159122
39	0.5325763372
40	0.5301628288
41	0.5265404202
42	0.5240442888
43	0.5213978512
44	0.5185935521
45	0.5157753592
46	0.5129085846
47	0.5096774149
48	0.5074793576
49	0.5047446412
50	0.5021718168
51	0.5000142574
52	0.4976634577
53	0.4947510302
54	0.4917086094
55	0.4885479118
56	0.4849934961
57	0.4811858901
58	0.4779522789
59	0.4745712351
60	0.4718844171
61	0.4681905207
62	0.4644754663
63	0.4619262166
64	0.4583618317
65	0.4550021454
66	0.4510909761
67	0.4459356487
68	0.4422509086
69	0.4382737162
70	0.4344026967
71	0.4303602322
72	0.4270089927
73	0.423052869
74	0.4183240698
75	0.4144805509
76	0.4106235885
77	0.408096011
78	0.4043850808
79	0.4000703764
80	0.3961406
81	0.3925065889
82	0.3888560574
83	0.385653884
84	0.3824042961
85	0.3784003297
86	0.374631521
87	0.3709782639
88	0.367046546
89	0.3642468177
90	0.3610771457
91	0.3577011005
92	0.353919393
93	0.3511792945
94	0.3476794546
95	0.344265287
96	0.3410923974
97	0.3388450024
98	0.335853723
99	0.3326189238
100	0.3292529941
101	0.3266677106
102	0.3240239215
103	0.3217744618
104	0.3190035402
105	0.3172526505
106	0.3148540295
107	0.3126591204
108	0.3096909603
109	0.3070703357
110	0.3039646822
111	0.3012417702
112	0.2980040809
113	0.2955929749
114	0.2931093779
115	0.2903414447
116	0.2874563722
117	0.2842290834
118	0.2812980748
119	0.2787455783
120	0.2760769588
121	0.2739026948
122	0.2718025859
123	0.2696590312
124	0.267460459
125	0.2649592541
126	0.2630337851
127	0.2605421913
128	0.2584920172
129	0.2565301413
130	0.2542336104
131	0.2521736658
132	0.2500102865
133	0.2478779906
134	0.2459655436
135	0.24363667
136	0.2409643349
137	0.2388066013
138	0.2367203786
139	0.2347821148
140	0.2338583327
141	0.2317355459
142	0.2292543806
143	0.2276498906
144	0.2260039872
145	0.2242529342
146	0.2224144636
147	0.2205121669
148	0.2183106953
149	0.2169387231
150	0.2149795495
151	0.2130076262
152	0.2113506378
153	0.2095062243
154	0.2079314028
155	0.206205941
156	0.2044178655
157	0.2028078426
158	0.2012947229
159	0.1995881175
160	0.1980340726
161	0.1968765194
162	0.1956015639
163	0.1941671096
164	0.1927352638
165	0.1908159297
166	0.1889663112
167	0.1875545015
168	0.1859604709
169	0.1852431606
170	0.1835263678
171	0.1819278828
172	0.1806490907
173	0.1794181308
174	0.1780612154
175	0.1767067125
176	0.1749443368
177	0.1738205708
178	0.1721699189
179	0.1706954298
180	0.1694762815
181	0.1681669252
182	0.1668966618
183	0.1655847339
184	0.1644606358
185	0.1630537821
186	0.1617570103
187	0.1603423865
188	0.1590138477
189	0.157705916
190	0.1562223112
191	0.1550821778
192	0.1537735751
193	0.1525362969
194	0.1515484128
195	0.1500822895
196	0.1491076926
197	0.1476359461
198	0.1464936852
199	0.1451999276
200	0.1438949016
201	0.142656752
202	0.1417618777
203	0.1407544217
204	0.1395818647
205	0.1385195985
206	0.1375629805
207	0.1367935764
208	0.1359318663
209	0.1350345468
210	0.1343402991
211	0.1332026891
212	0.1321366887
213	0.1309721901
214	0.1300542724
215	0.1291725636
216	0.1281110807
217	0.1273772939
218	0.1263972286
219	0.1253622196
220	0.1245124049
221	0.1235845805
222	0.1226568195
223	0.1220077509
224	0.1209958923
225	0.120010468
226	0.1188321288
227	0.1178478822
228	0.1169595678
229	0.1160601692
230	0.1150164975
231	0.1141698338
232	0.1132917721
233	0.1123935302
234	0.1115627648
235	0.1104047796
236	0.1094169971
237	0.1084198991
238	0.1074855927
239	0.1066281286
240	0.1059010561
241	0.105187474
242	0.1046297654
243	0.1036998039
244	0.1027582866
245	0.1020023262
246	0.1011464809
247	0.1002408109
248	0.0994472317
249	0.09887488466
250	0.09829983963
251	0.09758081143
252	0.09693713797
253	0.09618635157
254	0.09555776921
255	0.09485978795
256	0.09408969762
257	0.09331785878
258	0.09264873066
259	0.09199689004
260	0.09122990857
261	0.09046405782
262	0.08960555887
263	0.08887545144
264	0.08847635621
265	0.08793060726
266	0.08730036388
267	0.08678787883
268	0.08604308573
269	0.08564282535
270	0.0850597936
271	0.08436508207
272	0.08377926956
273	0.0832275273
274	0.08251684991
275	0.08180281143
276	0.08125470596
277	0.0806672184
278	0.07999361439
279	0.07946841633
280	0.07890679485
281	0.07824961053
282	0.07750710457
283	0.07710872745
284	0.07646340708
285	0.07585574794
286	0.07524367393
287	0.07461181028
288	0.07420028927
289	0.07386355212
290	0.07350621617
291	0.07288491646
292	0.07244452802
293	0.0720313189
294	0.07155470688
295	0.07111232919
296	0.07057076772
297	0.07015315613
298	0.06972632463
299	0.06925836964
300	0.06905692118
301	0.06849102668
302	0.06809271818
303	0.06751600789
304	0.06708736027
305	0.06660594227
306	0.06617496108
307	0.06562665587
308	0.06517121087
309	0.06463660063
310	0.06430689101
311	0.06385758347
312	0.06337442957
313	0.06288060385
314	0.06255673018
315	0.06217700867
316	0.06171386549
317	0.06127639657
318	0.0607923983
319	0.06049034289
320	0.06001582879
321	0.05963777019
322	0.05926885708
323	0.05886520772
324	0.05853762409
325	0.05815110056
326	0.05777143788
327	0.05754411586
328	0.05731083376
329	0.05705594608
330	0.05659259767
331	0.0561752523
332	0.05578605917
333	0.05536210272
334	0.05486872957
335	0.0544664241
336	0.05408265949
337	0.05383613773
338	0.05349081966
339	0.05310122186
340	0.05272624944
341	0.05240415004
342	0.05213382142
343	0.05189151315
344	0.05152781839
345	0.05103804319
346	0.05062708395
347	0.05029872028
348	0.04999048408
349	0.04987123314
350	0.04956366366
351	0.04920982052
352	0.04888891397
353	0.04853361664
354	0.04819621078
355	0.04785150483
356	0.04744950416
357	0.04712629555
358	0.04686327714
359	0.04653979422
360	0.04627714719
361	0.04606735593
362	0.04572703274
363	0.04534953555
364	0.04505119798
365	0.04474034019
366	0.04450020521
367	0.04416405732
368	0.04383267096
369	0.04350676778
370	0.04330583234
371	0.04305301431
372	0.0428622234
373	0.04259509158
374	0.04230182311
375	0.04194575314
376	0.04171369091
377	0.04148030749
378	0.0411580974
379	0.04091066458
380	0.04067276098
381	0.04039332851
382	0.04007468609
383	0.03987019673
384	0.03954115958
385	0.03926376555
386	0.03893413849
387	0.03870300467
388	0.03847999731
389	0.03820493106
390	0.03790467482
391	0.037653354
392	0.03748274905
393	0.03730946874
394	0.03706507954
395	0.03687277749
396	0.03660065224
397	0.036334973
398	0.03610827059
399	0.03585939749
400	0.03567237911
401	0.0354573724
402	0.03526099812
403	0.0351035626
404	0.03492536746
405	0.03470365271
406	0.03451786166
407	0.03440249243
408	0.03421395847
409	0.03397124711
